Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
213845772,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
213848529,0000046D,false,Rx,4,6,8B,0D,0B,0C,0B,17,00,00,
213849326,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
213850350,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
213853515,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
213854312,0000047E,false,Rx,4,6,8B,29,0B,28,0B,26,00,00,
213855335,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
214677143,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
214773667,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
214774565,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
214775931,00000460,false,Rx,4,8,8B,0F,0B,10,0B,1C,0B,1C,
214776845,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
214777756,00000470,false,Rx,4,8,8B,1B,0B,19,0B,18,0B,19,
214778679,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,11,
214779683,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
214780666,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
214781600,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,18,
214790322,00000463,false,Rx,4,8,8B,13,0B,13,0B,1D,0B,1E,
214791251,00000473,false,Rx,4,8,8B,1C,0B,1E,0B,1F,0B,1D,
214792234,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
214796207,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
214796975,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
214829939,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
214830859,00000478,false,Rx,4,8,8B,12,0B,11,0B,12,0B,12,
214831832,000007E8,false,Rx,4,8,0C,ED,00,00,00,00,10,01,
214840613,0000046A,false,Rx,4,8,8B,10,0B,10,0B,18,0B,18,
214841524,0000047A,false,Rx,4,8,8B,1A,0B,1A,0B,1A,0B,1A,
214842507,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
214849394,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
214850191,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
214851205,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
214853963,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,18,00,00,
214854750,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
214855784,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
214858969,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
214859746,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
214860790,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
215682353,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
215778857,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
215779633,00000470,false,Rx,4,6,8B,1A,0B,19,0B,19,00,00,
215780546,00000460,false,Rx,4,8,8B,08,0B,09,0B,13,0B,13,
215781466,00000460,false,Rx,4,8,8B,12,0B,12,0B,1C,0B,1B,
215782886,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
215783787,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,17,0B,18,
215784700,00000470,false,Rx,4,8,8B,13,0B,12,0B,12,0B,11,
215785621,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
215786605,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
215787617,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
215788632,00000470,false,Rx,4,8,8B,19,0B,18,0B,19,0B,1B,
215789705,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
215795563,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1D,
215796482,00000473,false,Rx,4,8,8B,1F,0B,1E,0B,1D,0B,1E,
215797467,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
215835173,00000468,false,Rx,4,8,8B,0A,0B,0C,0B,13,0B,12,
215836083,00000478,false,Rx,4,8,8B,12,0B,11,0B,13,0B,13,
215837066,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
215845818,0000046A,false,Rx,4,8,8B,10,0B,11,0B,1A,0B,1A,
215846716,0000047A,false,Rx,4,8,8B,19,0B,18,0B,17,0B,18,
215847701,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
215854607,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
215855394,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
215856418,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
215859175,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,16,00,00,
215859963,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
215860986,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
215864203,0000046E,false,Rx,4,6,8B,1C,0B,19,0B,28,00,00,
215865001,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
215866026,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
216682653,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
216779156,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
216779923,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
216780847,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,13,
216781769,00000460,false,Rx,4,8,8B,10,0B,10,0B,1B,0B,1B,
216782671,00000470,false,Rx,4,8,8B,11,0B,13,0B,12,0B,11,
216783572,00000470,false,Rx,4,8,8B,19,0B,19,0B,19,0B,19,
216784556,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
216785558,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
216786653,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
216795842,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1D,
216796771,00000473,false,Rx,4,8,8B,1C,0B,1F,0B,1F,0B,1D,
216797756,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
216800870,00000460,false,Rx,4,8,8B,0D,0B,0E,0B,18,0B,18,
216801789,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
216802794,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
216835442,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
216836371,00000478,false,Rx,4,8,8B,13,0B,11,0B,14,0B,13,
216837346,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
216846119,0000046A,false,Rx,4,8,8B,10,0B,10,0B,17,0B,1B,
216847017,0000047A,false,Rx,4,8,8B,1B,0B,18,0B,19,0B,1A,
216848001,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
216854898,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
216855704,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
216856708,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
216859465,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
216860262,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
216861296,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
216864472,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
216865259,0000047E,false,Rx,4,6,8B,29,0B,26,0B,26,00,00,
216866303,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
217687275,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
217783810,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
217784708,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,17,
217785620,00000460,false,Rx,4,8,8B,09,0B,08,0B,13,0B,13,
217786907,00000470,false,Rx,4,8,8B,11,0B,13,0B,12,0B,12,
217787820,00000460,false,Rx,4,8,8B,0F,0B,0E,0B,1A,0B,1B,
217789126,00000470,false,Rx,4,8,8B,1A,0B,1A,0B,1A,0B,1C,
217795374,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
217796384,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
217797307,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
217798401,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
217799233,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
217800466,00000463,false,Rx,4,8,8B,12,0B,13,0B,1D,0B,1E,
217801381,00000473,false,Rx,4,8,8B,1D,0B,1D,0B,1F,0B,1D,
217802372,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
217840080,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,12,0B,12,
217840979,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
217841963,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
217850736,0000046A,false,Rx,4,8,8B,0E,0B,11,0B,19,0B,18,
217851644,0000047A,false,Rx,4,8,8B,1B,0B,19,0B,18,0B,1B,
217852628,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
217859576,0000046C,false,Rx,4,6,8B,12,0B,12,0B,1C,00,00,
217860353,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
217861368,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
217864094,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,16,00,00,
217864891,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
217865906,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
217869111,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
217869918,0000047E,false,Rx,4,6,8B,2A,0B,26,0B,26,00,00,
217870942,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
218690507,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
218787011,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
218787920,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
218788833,00000460,false,Rx,4,8,8B,08,0B,08,0B,11,0B,13,
218789836,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
218790759,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
218791771,00000460,false,Rx,4,8,8B,11,0B,11,0B,1A,0B,1A,
218792703,00000470,false,Rx,4,8,8B,11,0B,12,0B,12,0B,11,
218793624,00000470,false,Rx,4,8,8B,18,0B,1A,0B,1B,0B,1D,
218794599,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
218795611,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
218796383,00000470,false,Rx,4,6,8B,19,0B,1A,0B,1A,00,00,
218803714,00000463,false,Rx,4,8,8B,11,0B,12,0B,1F,0B,1D,
218804633,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1D,0B,1E,
218805627,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
218811097,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
218843305,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
218844204,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,11,
218845189,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
218853940,0000046A,false,Rx,4,8,8B,11,0B,0F,0B,17,0B,1B,
218854839,0000047A,false,Rx,4,8,8B,1B,0B,17,0B,1A,0B,19,
218855833,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
218862782,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1C,00,00,
218863568,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
218864571,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
218867348,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
218868146,0000047D,false,Rx,4,6,8B,16,0B,16,0B,15,00,00,
218869170,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
218872334,0000046E,false,Rx,4,6,8B,1A,0B,18,0B,28,00,00,
218873122,0000047E,false,Rx,4,6,8B,29,0B,26,0B,25,00,00,
218874145,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
219693796,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
219790330,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
219791259,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
219792163,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,13,
219793085,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
219794449,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
219795453,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
219796435,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
219797419,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
219798252,00000470,false,Rx,4,6,8B,19,0B,1A,0B,1A,00,00,
219806994,00000463,false,Rx,4,8,8B,11,0B,12,0B,1E,0B,1E,
219807914,00000473,false,Rx,4,8,8B,1C,0B,1F,0B,1E,0B,1C,
219808907,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
219812368,00000460,false,Rx,4,8,8B,0F,0B,0E,0B,19,0B,1A,
219813277,00000470,false,Rx,4,8,8B,18,0B,18,0B,19,0B,1B,
219814281,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
219846596,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
219847505,00000478,false,Rx,4,8,8B,12,0B,11,0B,13,0B,13,
219848489,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
219857252,0000046A,false,Rx,4,8,8B,10,0B,0F,0B,18,0B,19,
219858162,0000047A,false,Rx,4,8,8B,1B,0B,19,0B,18,0B,1B,
219859145,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
219866073,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1C,00,00,
219866870,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
219867863,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
219870630,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
219871417,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
219872430,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
219875656,0000046E,false,Rx,4,6,8B,1B,0B,1A,0B,28,00,00,
219876433,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
219877467,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
220698604,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
220795107,00000460,false,Rx,4,6,8B,11,0B,0F,0B,18,00,00,
220796025,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
220803555,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
220804464,00000460,false,Rx,4,8,8B,08,0B,09,0B,13,0B,12,
220805387,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
220806298,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,12,
220807354,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
220808265,00000460,false,Rx,4,8,8B,10,0B,0F,0B,1A,0B,1A,
220809238,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
220810170,00000470,false,Rx,4,8,8B,18,0B,18,0B,18,0B,19,
220810931,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
220811841,00000463,false,Rx,4,8,8B,11,0B,14,0B,1C,0B,1E,
220812766,00000473,false,Rx,4,8,8B,1C,0B,1F,0B,1E,0B,1E,
220813779,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
220814763,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
220851402,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
220852300,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
220853284,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
220862048,0000046A,false,Rx,4,8,8B,0F,0B,0F,0B,1A,0B,1B,
220862957,0000047A,false,Rx,4,8,8B,19,0B,18,0B,19,0B,1A,
220863941,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
220870888,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1C,00,00,
220871664,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
220872679,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
220875426,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
220876223,0000047D,false,Rx,4,6,8B,16,0B,16,0B,16,00,00,
220877248,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
220880423,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
220881200,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
220882255,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
221698876,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
221795380,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
221796298,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,17,0B,18,
221797211,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,13,
221798224,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
221799168,00000470,false,Rx,4,8,80,01,0B,1A,0B,1C,0B,18,
221800200,00000460,false,Rx,4,8,8B,10,0B,10,0B,1C,0B,1D,
221801113,00000470,false,Rx,4,8,8B,13,0B,11,0B,12,0B,11,
221802025,00000470,false,Rx,4,8,8B,1B,0B,1B,0B,1A,0B,1B,
221802999,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
221804011,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
221804792,00000470,false,Rx,4,6,8B,19,0B,18,0B,1A,00,00,
221805886,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
221812067,00000463,false,Rx,4,8,8B,11,0B,13,0B,1D,0B,1E,
221812965,00000473,false,Rx,4,8,8B,1C,0B,1E,0B,1D,0B,1E,
221813959,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
221851674,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
221852572,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
221853557,000007E8,false,Rx,4,8,0C,ED,00,00,00,00,10,01,
221862339,0000046A,false,Rx,4,8,8B,0E,0B,0F,0B,1A,0B,1A,
221863248,0000047A,false,Rx,4,8,8B,19,0B,18,0B,19,0B,1A,
221864233,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
221871140,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
221871937,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
221872951,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
221875697,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
221876484,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
221877518,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
221880735,0000046E,false,Rx,4,6,8B,1B,0B,18,0B,27,00,00,
221881511,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
221882556,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
222702530,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
222799044,00000460,false,Rx,4,6,8B,11,0B,0F,0B,18,00,00,
222799963,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,17,
222800886,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
222801889,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
222802802,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,19,
222803824,00000460,false,Rx,4,8,8B,10,0B,11,0B,1C,0B,1D,
222804737,00000470,false,Rx,4,8,8B,11,0B,12,0B,12,0B,12,
222805637,00000470,false,Rx,4,8,8B,1C,0B,1B,0B,1B,0B,1B,
222806612,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
222807624,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
222808396,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
222809488,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
222815741,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1F,
222816628,00000473,false,Rx,4,8,8B,1D,0B,1D,0B,1E,0B,1D,
222817623,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
222855330,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
222856219,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
222857204,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
222865998,0000046A,false,Rx,4,8,8B,0F,0B,0F,0B,18,0B,1B,
222866896,0000047A,false,Rx,4,8,8B,1B,0B,18,0B,17,0B,19,
222867881,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
222874788,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1D,00,00,
222875584,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
222876597,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
222879354,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,16,00,00,
222880141,0000047D,false,Rx,4,6,8B,16,0B,18,0B,16,00,00,
222881166,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
222884391,0000046E,false,Rx,4,6,8B,1A,0B,18,0B,28,00,00,
222885169,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
222886203,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
223707664,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
223804172,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
223805081,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,17,0B,18,
223805984,00000460,false,Rx,4,8,8B,09,0B,09,0B,13,0B,12,
223806996,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
223807920,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
223808942,00000460,false,Rx,4,8,8B,10,0B,11,0B,1C,0B,1C,
223809855,00000470,false,Rx,4,8,8B,11,0B,12,0B,12,0B,12,
223810756,00000470,false,Rx,4,8,8B,1B,0B,19,0B,19,0B,19,
223811730,000007E0,false,Rx,4,8,0D,08,00,00,00,00,10,15,
223812733,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
223813513,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
223814605,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
223820869,00000463,false,Rx,4,8,8B,12,0B,13,0B,1C,0B,1F,
223821780,00000473,false,Rx,4,8,8B,1D,0B,1E,0B,1E,0B,1C,
223822763,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
223860467,00000468,false,Rx,4,8,8B,0A,0B,0A,0B,13,0B,12,
223861376,00000478,false,Rx,4,8,8B,13,0B,11,0B,12,0B,12,
223862360,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
223871114,0000046A,false,Rx,4,8,8B,0F,0B,11,0B,1C,0B,1A,
223872023,0000047A,false,Rx,4,8,8B,18,0B,18,0B,19,0B,1B,
223873007,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
223879934,0000046C,false,Rx,4,6,8B,13,0B,12,0B,1C,00,00,
223880731,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
223881736,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
223884481,0000046D,false,Rx,4,6,8B,0D,0B,0D,0B,17,00,00,
223885278,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
223886313,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
223889488,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
223890265,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
223891308,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
224712372,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
224808887,00000460,false,Rx,4,6,8B,10,0B,10,0B,18,00,00,
224809795,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,18,0B,18,
224810718,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
224811721,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
224812643,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,18,
224813655,00000460,false,Rx,4,8,8B,10,0B,0F,0B,1B,0B,1B,
224814568,00000470,false,Rx,4,8,8B,11,0B,12,0B,12,0B,12,
224815469,00000470,false,Rx,4,8,8B,19,0B,19,0B,19,0B,19,
224816444,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
224817456,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
224818227,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
224819319,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
224825573,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1C,
224826481,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1D,0B,1D,
224827475,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
224865159,00000468,false,Rx,4,8,8B,09,0B,0B,0B,13,0B,13,
224866078,00000478,false,Rx,4,8,8B,12,0B,11,0B,14,0B,12,
224867063,000007E8,false,Rx,4,8,0C,EE,00,00,00,00,10,02,
224875826,0000046A,false,Rx,4,8,8B,11,0B,10,0B,19,0B,18,
224876735,0000047A,false,Rx,4,8,8B,18,0B,18,0B,1A,0B,1A,
224877718,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
224884624,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1B,00,00,
224885412,0000047C,false,Rx,4,6,8B,1D,0B,1C,0B,1C,00,00,
224886436,000007EC,false,Rx,4,8,0D,0D,00,00,00,00,10,26,
224889193,0000046D,false,Rx,4,6,8B,0D,0B,0C,0B,17,00,00,
224889981,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
224891005,000007ED,false,Rx,4,8,0D,07,00,00,00,00,10,21,
224894200,0000046E,false,Rx,4,6,8B,1B,0B,18,0B,28,00,00,
224894977,0000047E,false,Rx,4,6,8B,29,0B,27,0B,25,00,00,
224896021,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
225712917,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
225809419,00000460,false,Rx,4,6,8B,10,0B,0F,0B,18,00,00,
225810318,00000460,false,Rx,4,8,8B,0D,0B,0F,0B,17,0B,18,
225811231,00000460,false,Rx,4,8,8B,07,0B,09,0B,12,0B,12,
225812243,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
225813167,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
225814200,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,11,
225815254,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
225826117,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1E,
225827017,00000473,false,Rx,4,8,8B,1D,0B,1D,0B,1E,0B,1E,
225828011,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
