Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4121030,00000470,false,Rx,4,8,8B,1A,0B,1B,0B,1C,0B,1C,
4122032,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
4122966,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
4124060,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
4124912,00000470,false,Rx,4,6,8B,1A,0B,18,0B,1A,00,00,
4134564,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1F,
4135483,00000473,false,Rx,4,8,8B,1C,0B,1D,0B,1E,0B,1F,
4136477,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
4138970,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,13,
4139879,00000470,false,Rx,4,8,8B,13,0B,12,0B,12,0B,12,
4140853,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
4174164,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
4175063,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
4176048,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
4184821,0000046A,false,Rx,4,8,8B,10,0B,10,0B,18,0B,1B,
4185740,0000047A,false,Rx,4,8,8B,19,0B,1A,0B,19,0B,18,
4186724,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
4193640,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1D,00,00,
4194427,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
4195462,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
4198188,0000046D,false,Rx,4,6,8B,0E,0B,0E,0B,18,00,00,
4198986,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
4199980,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
4203185,0000046E,false,Rx,4,6,8B,1C,0B,19,0B,28,00,00,
4203973,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
4205006,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
5022523,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
5119029,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
5119938,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
5126979,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
5127888,00000460,false,Rx,4,8,8B,10,0B,0F,0B,1B,0B,1C,
5128801,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,11,
5129711,00000470,false,Rx,4,8,8B,1C,0B,1B,0B,19,0B,19,
5131471,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
5132404,00000470,false,Rx,4,8,80,02,0B,1A,0B,1C,0B,19,
5133406,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
5134512,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
5135738,00000463,false,Rx,4,8,8B,11,0B,13,0B,1F,0B,1F,
5136670,00000473,false,Rx,4,8,8B,1C,0B,1E,0B,1F,0B,1F,
5137663,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
5149117,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
5149895,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
5175324,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
5176244,00000478,false,Rx,4,8,8B,13,0B,12,0B,14,0B,13,
5177228,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
5185981,0000046A,false,Rx,4,8,8B,10,0B,10,0B,19,0B,1B,
5186871,0000047A,false,Rx,4,8,8B,18,0B,19,0B,19,0B,17,
5187854,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
5194781,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1D,00,00,
5195567,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
5196591,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
5199349,0000046D,false,Rx,4,6,8B,0E,0B,0E,0B,17,00,00,
5200126,0000047D,false,Rx,4,6,8B,17,0B,18,0B,17,00,00,
5201149,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
5204334,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
5205132,0000047E,false,Rx,4,6,8B,29,0B,28,0B,26,00,00,
5206167,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
6023650,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
6120189,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
6121118,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
6122021,00000460,false,Rx,4,8,8B,09,0B,09,0B,12,0B,13,
6123317,00000470,false,Rx,4,8,8B,12,0B,12,0B,13,0B,11,
6124246,00000460,false,Rx,4,8,8B,10,0B,12,0B,1D,0B,1C,
6125533,00000470,false,Rx,4,8,8B,1A,0B,1A,0B,19,0B,1A,
6130275,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
6131052,00000470,false,Rx,4,6,8B,19,0B,1A,0B,1A,00,00,
6132057,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
6132989,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
6134084,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
6136861,00000463,false,Rx,4,8,8B,13,0B,13,0B,1D,0B,1F,
6137770,00000473,false,Rx,4,8,8B,1E,0B,1D,0B,1E,0B,1F,
6138764,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
6176449,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
6177368,00000478,false,Rx,4,8,8B,13,0B,11,0B,14,0B,13,
6178363,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
6187126,0000046A,false,Rx,4,8,8B,10,0B,0E,0B,1A,0B,1A,
6188035,0000047A,false,Rx,4,8,8B,1A,0B,1A,0B,18,0B,1B,
6189019,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
6195906,0000046C,false,Rx,4,6,8B,13,0B,12,0B,1C,00,00,
6196702,0000047C,false,Rx,4,6,8B,1E,0B,1F,0B,1D,00,00,
6197727,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
6200504,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
6201281,0000047D,false,Rx,4,6,8B,17,0B,18,0B,17,00,00,
6202295,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
6205490,0000046E,false,Rx,4,6,8B,1B,0B,1A,0B,29,00,00,
6206277,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
6207311,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
7024709,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
7121225,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
7122012,00000470,false,Rx,4,6,8B,1A,0B,1A,0B,1A,00,00,
7123367,00000460,false,Rx,4,8,8B,11,0B,11,0B,1C,0B,1B,
7124289,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
7125194,00000470,false,Rx,4,8,8B,19,0B,19,0B,1A,0B,1C,
7126107,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
7127471,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
7128394,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
7129406,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
7130341,00000470,false,Rx,4,8,80,02,0B,1A,0B,1C,0B,19,
7131414,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
7137920,00000463,false,Rx,4,8,8B,12,0B,13,0B,1E,0B,1D,
7138829,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1E,0B,1C,
7139824,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
7146087,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
7177500,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
7178399,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
7179393,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
7188176,0000046A,false,Rx,4,8,8B,11,0B,0E,0B,1B,0B,19,
